topic,mentions,avg_engagement,negative_share
other,7985,3.8782717595491545,0.3309956167814653
price_cost,522,2.310344827586207,0.47126436781609193
battery_range,267,10.887640449438202,0.41198501872659177
design,246,2.841463414634146,0.37398373983739835
performance,216,4.972222222222222,0.38425925925925924
charging,209,5.196172248803828,0.49282296650717705
software_autonomy,172,3.313953488372093,0.5058139534883721
quality,166,2.325301204819277,0.5783132530120482
safety,166,1.4879518072289157,0.6867469879518072
service_after_sales,67,3.1641791044776117,0.6417910447761194
